a1,a2,a3,net,nmi_avg,nmi_max,nmi_std,nmi_test
0.95,0.0,0.05,net_0,0.6333456643850265,0.9930287610628121,0.07563963024127643,0.9530688946746191
0.95,0.0,0.05,net_1,0.6261894393205225,0.9963167941253807,0.0728674543849547,0.9591902945164936
0.95,0.0,0.05,net_2,0.6357219302723962,0.978664483948917,0.067446539827246,0.9441030704222232
0.95,0.0,0.05,net_3,0.6446566864429127,0.9769630760877934,0.07295545409955094,0.9424414745562533
0.95,0.0,0.05,net_4,0.6462855500640348,0.9803768039519156,0.0680909786839016,0.9404557400756933
0.95,0.0,0.05,net_5,0.6528794657984356,0.9648836408395914,0.06337979427127068,0.934273074439662
0.95,0.0,0.05,net_6,0.6295370601541614,0.9447449759179389,0.06617796725627824,0.9298485333934831
0.95,0.0,0.05,net_7,0.6212902359557069,0.958729480350838,0.07176837080998263,0.9409700016987846
0.95,0.0,0.05,net_8,0.6358889546987974,0.9458995386966298,0.06274522383343031,0.9173051315701048
0.95,0.0,0.05,net_9,0.6488360847186706,0.9476313776880001,0.05700961219722783,0.9206357396228398
0.95,0.0,0.05,net_10,0.6358421010993776,0.9490978302205068,0.0597573686799355,0.9277746426623656
0.9,0.0,0.1,net_11,0.6296324464412001,0.9336167501408351,0.0633060081307444,0.9019806624160595
0.95,0.0,0.05,net_12,0.6112251530819742,0.9220230016872276,0.06192640253864721,0.8900334760422861
0.85,0.0,0.15,net_13,0.6161598228371507,0.9247885975769219,0.06882382448029066,0.9078277478831495
0.9,0.0,0.1,net_14,0.6005123287699161,0.9145404134150481,0.0602470809898479,0.8637774060149315
0.95,0.0,0.05,net_15,0.5994083161508614,0.9059919003732738,0.06278496450652392,0.8807537346022681
0.8,0.0,0.2,net_16,0.6022955135428093,0.8704970637780082,0.055481944933318955,0.8568744252516537
0.9,0.0,0.1,net_17,0.6001957972531183,0.9118656604901259,0.06135237102388188,0.9113140750536436
0.8,0.0,0.2,net_18,0.5703004168201418,0.8920788991320017,0.06956704239481644,0.8572024931776193
0.9,0.0,0.1,net_19,0.5879539789747522,0.8972704152891432,0.06307999119668935,0.839498068715704
0.95,0.0,0.05,net_20,0.6082424333000211,0.8891188079726167,0.05782923752107788,0.8409896543780516
0.8,0.0,0.2,net_21,0.5899253936354175,0.8644837596594827,0.05534149650190823,0.8268209028581305
0.95,0.0,0.05,net_22,0.582447105427316,0.8672136155905676,0.060700236594825846,0.8222481403213817
0.95,0.0,0.05,net_23,0.5241124340534195,0.8603832321656939,0.06945887459271476,0.7749891851490909
0.95,0.0,0.05,net_24,0.49809752294851034,0.8409079917600071,0.07798986588951813,0.7772585268300984
0.95,0.0,0.05,net_25,0.4202244884825675,0.8234677395439943,0.09206082212349755,0.7783507658468279
0.95,0.0,0.05,net_26,0.4302704432248588,0.7998645314746097,0.0854890006055092,0.7368682517106159
0.9,0.0,0.1,net_27,0.3387948719461197,0.7419617710127261,0.08783233710687967,0.627207781201452
0.9,0.0,0.1,net_28,0.3134692624779157,0.7486242877110403,0.08480248601976217,0.6204991171193812
0.7,0.0,0.3,net_29,0.27873196484957685,0.6468332483547178,0.0756054316301489,0.5792667914589931
0.8,0.0,0.2,net_30,0.29950821224593166,0.6492211007688347,0.06824112942448188,0.5689219701792763
0.9,0.0,0.1,net_31,0.24335558589432413,0.5123341369859966,0.05034026547439049,0.4091826739475978
0.85,0.0,0.15,net_32,0.2551979719234141,0.47794252508478674,0.04381214212110607,0.43154408051385656
0.8,0.0,0.2,net_33,0.25001583751418,0.4613208304879628,0.03704923589433058,0.40618128930317965
0.9,0.0,0.1,net_34,0.2508802190714362,0.4400057275148937,0.03811178043013129,0.3501107319351736
0.95,0.0,0.05,net_35,0.2443796372412898,0.3678335809770936,0.028635050856025225,0.3320322467096755
0.9,0.0,0.1,net_36,0.24356257947856413,0.3445621601378629,0.024137611973106172,0.3138984298368199
0.75,0.0,0.25,net_37,0.24701277387122478,0.35625335315790907,0.024119146611182116,0.3235780217715526
0.7,0.0,0.3,net_38,0.25607341089429003,0.32539998679170695,0.019692734275547998,0.2833545204854911
0.8,0.0,0.2,net_39,0.22811734569945452,0.2828498683213925,0.01963284516064978,0.24466478762496816
0.75,0.0,0.25,net_40,0.24442907389531604,0.30174753891669903,0.027736017092085983,0.27496186692109076
6.25e-06,0.15,0.84999375,net_41,0.23199051120311265,0.27246240826514123,0.02704210028723938,0.2584668820438498
9.375e-05,0.15,0.8499062500000001,net_42,0.22156260425020005,0.25780172922241484,0.02213289633408478,0.22707872814721977
0.034999999999999996,0.05,0.915,net_43,0.22835661128589044,0.2641175543259121,0.02179312024474607,0.22886021824549801
0.0,0.95,0.05,net_44,0.22759669446834072,0.27578392949022346,0.023610970826021368,0.25023242850254346
1.52587890625e-22,0.8,0.2,net_45,0.2259630517451521,0.2594999722292312,0.01577774309310868,0.2702428792881833
3.1250000000000005e-08,0.25,0.7499999687500001,net_46,0.21587272462003,0.24536728044319772,0.019333514285544643,0.2181603835665267
3.0517578125000003e-21,0.75,0.25,net_47,0.2218769610820455,0.256171183486369,0.018241699495911545,0.22577666036777533
0.0125,0.05,0.9375,net_48,0.21973920463282617,0.2503097549954197,0.02201009739748838,0.23754852229160317
3.814697265625e-24,0.85,0.15,net_49,0.2341469169617576,0.2758269634425115,0.02264507129207472,0.23007903900726115
